id	cat_boost_original_bert	forest_original_bert	log_original_bert	neigh_original_bert	original_majority_label_bert
Kan_1	Negative	Negative	Negative	Negative	Negative
Kan_2	Positive	Positive	Positive	Positive	Positive
Kan_3	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_4	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_5	Positive	Negative	Positive	Positive	Positive
Kan_6	unknown state	not-Kannada	unknown state	not-Kannada	not-Kannada
Kan_7	Positive	Positive	Positive	Positive	Positive
Kan_8	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_9	Negative	Negative	Negative	Positive	Negative
Kan_10	Positive	Positive	Positive	Positive	Positive
Kan_11	Mixed feelings	Negative	Positive	Positive	Positive
Kan_12	unknown state	Positive	Positive	Positive	Positive
Kan_13	not-Kannada	Positive	Positive	Positive	Positive
Kan_14	Negative	Negative	Negative	Negative	Negative
Kan_15	Positive	Negative	Positive	Positive	Positive
Kan_16	Positive	Positive	Positive	Positive	Positive
Kan_17	Positive	Positive	Positive	Positive	Positive
Kan_18	Positive	Positive	Positive	Positive	Positive
Kan_19	Positive	Positive	Negative	Positive	Positive
Kan_20	Positive	Positive	Positive	Positive	Positive
Kan_21	Positive	Positive	Positive	Positive	Positive
Kan_22	Positive	Positive	Positive	Mixed feelings	Positive
Kan_23	Positive	Positive	Positive	Positive	Positive
Kan_24	Positive	Positive	unknown state	Positive	Positive
Kan_25	Positive	not-Kannada	Positive	not-Kannada	Positive
Kan_26	Positive	Positive	Positive	not-Kannada	Positive
Kan_27	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_28	Positive	Positive	Positive	Positive	Positive
Kan_29	Mixed feelings	Mixed feelings	Positive	Mixed feelings	Mixed feelings
Kan_30	not-Kannada	Positive	not-Kannada	Mixed feelings	not-Kannada
Kan_31	Positive	Positive	Positive	Positive	Positive
Kan_32	Positive	not-Kannada	Positive	not-Kannada	Positive
Kan_33	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_34	not-Kannada	Positive	not-Kannada	Negative	not-Kannada
Kan_35	Negative	Negative	Negative	Negative	Negative
Kan_36	Positive	Positive	Positive	Positive	Positive
Kan_37	Positive	Positive	Negative	Negative	Negative
Kan_38	Positive	Positive	Positive	Positive	Positive
Kan_39	not-Kannada	Positive	Positive	Positive	Positive
Kan_40	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_41	Positive	not-Kannada	Positive	Positive	Positive
Kan_42	Positive	Positive	Positive	Positive	Positive
Kan_43	Positive	Positive	Positive	Positive	Positive
Kan_44	Positive	Positive	Positive	Positive	Positive
Kan_45	Positive	Positive	Positive	not-Kannada	Positive
Kan_46	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_47	unknown state	unknown state	unknown state	Negative	unknown state
Kan_48	Positive	Positive	Positive	Positive	Positive
Kan_49	Positive	Positive	Positive	Positive	Positive
Kan_50	Negative	Positive	Negative	Positive	Negative
Kan_51	Negative	Negative	Negative	Negative	Negative
Kan_52	unknown state	unknown state	not-Kannada	not-Kannada	not-Kannada
Kan_53	Positive	Positive	Positive	Positive	Positive
Kan_54	Positive	Positive	Positive	Positive	Positive
Kan_55	Positive	Positive	Positive	Positive	Positive
Kan_56	Negative	Negative	Positive	Negative	Negative
Kan_57	Positive	Positive	Negative	Negative	Negative
Kan_58	Positive	Negative	Negative	Positive	Negative
Kan_59	Negative	Positive	Positive	Positive	Positive
Kan_60	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Kan_61	Positive	Positive	Negative	Negative	Negative
Kan_62	Positive	Positive	Positive	Positive	Positive
Kan_63	Negative	Positive	Negative	unknown state	Negative
Kan_64	Positive	Positive	Positive	Positive	Positive
Kan_65	Positive	Negative	Negative	Positive	Negative
Kan_66	Positive	Positive	Positive	Negative	Positive
Kan_67	Positive	Positive	not-Kannada	Positive	Positive
Kan_68	Positive	Positive	Positive	Negative	Positive
Kan_69	Positive	Positive	Positive	Positive	Positive
Kan_70	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Kan_71	Negative	Positive	Negative	Negative	Negative
Kan_72	Negative	Positive	Negative	Positive	Negative
Kan_73	Positive	Positive	Positive	Positive	Positive
Kan_74	Positive	Positive	Positive	Positive	Positive
Kan_75	Positive	Positive	Positive	Positive	Positive
Kan_76	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_77	Positive	Positive	Positive	Positive	Positive
Kan_78	Positive	Positive	Positive	Positive	Positive
Kan_79	Mixed feelings	unknown state	Negative	unknown state	unknown state
Kan_80	Negative	Positive	Negative	Negative	Negative
Kan_81	Positive	Positive	Positive	Positive	Positive
Kan_82	Positive	Positive	Positive	Positive	Positive
Kan_83	unknown state	Negative	Negative	not-Kannada	Negative
Kan_84	Positive	Positive	Positive	Positive	Positive
Kan_85	Positive	Positive	Positive	Positive	Positive
Kan_86	Negative	Negative	Negative	Negative	Negative
Kan_87	Positive	Negative	Negative	Negative	Negative
Kan_88	Positive	Positive	Positive	Positive	Positive
Kan_89	Positive	Positive	Positive	not-Kannada	Positive
Kan_90	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_91	Negative	Positive	Positive	Positive	Positive
Kan_92	unknown state	Positive	Negative	Positive	Positive
Kan_93	Positive	Positive	Positive	Positive	Positive
Kan_94	Positive	Positive	Positive	Positive	Positive
Kan_95	Negative	unknown state	Negative	Negative	Negative
Kan_96	Positive	Positive	Positive	Negative	Positive
Kan_97	Negative	Positive	Positive	Positive	Positive
Kan_98	Positive	Positive	Positive	Positive	Positive
Kan_99	Negative	Negative	Positive	Positive	Negative
Kan_100	Mixed feelings	Mixed feelings	unknown state	Mixed feelings	Mixed feelings
Kan_101	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_102	Negative	Positive	Negative	Negative	Negative
Kan_103	Positive	Positive	Positive	Positive	Positive
Kan_104	Positive	Positive	Positive	Positive	Positive
Kan_105	Positive	Positive	not-Kannada	unknown state	Positive
Kan_106	not-Kannada	Positive	unknown state	Positive	Positive
Kan_107	Positive	Positive	not-Kannada	Positive	Positive
Kan_108	Negative	Negative	Negative	Negative	Negative
Kan_109	Negative	Negative	Negative	Negative	Negative
Kan_110	unknown state	Mixed feelings	unknown state	Positive	unknown state
Kan_111	Positive	Positive	Positive	Positive	Positive
Kan_112	Positive	Positive	Positive	Positive	Positive
Kan_113	Positive	Positive	Positive	Positive	Positive
Kan_114	unknown state	Mixed feelings	Positive	Positive	Positive
Kan_115	Positive	Positive	Positive	Positive	Positive
Kan_116	Positive	Negative	Positive	Positive	Positive
Kan_117	Positive	Positive	Positive	Positive	Positive
Kan_118	Positive	Positive	not-Kannada	Positive	Positive
Kan_119	Positive	Positive	Positive	Positive	Positive
Kan_120	Positive	Negative	Positive	Positive	Positive
Kan_121	unknown state	Positive	Positive	Positive	Positive
Kan_122	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_123	Positive	not-Kannada	Positive	Positive	Positive
Kan_124	Positive	Positive	Positive	Positive	Positive
Kan_125	Positive	Negative	Positive	Positive	Positive
Kan_126	Positive	Positive	Positive	Positive	Positive
Kan_127	Positive	Positive	Positive	Positive	Positive
Kan_128	Negative	Negative	Negative	Negative	Negative
Kan_129	Positive	Positive	Positive	Positive	Positive
Kan_130	Positive	Negative	Negative	Positive	Negative
Kan_131	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Kan_132	Positive	Positive	Positive	Positive	Positive
Kan_133	Positive	Positive	Positive	Negative	Positive
Kan_134	Negative	Positive	Positive	Negative	Negative
Kan_135	Positive	Positive	Positive	Positive	Positive
Kan_136	Positive	Positive	Positive	Positive	Positive
Kan_137	Positive	Positive	Positive	Positive	Positive
Kan_138	Positive	Positive	Positive	Positive	Positive
Kan_139	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_140	Positive	Positive	Positive	Positive	Positive
Kan_141	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_142	Negative	Negative	Negative	Negative	Negative
Kan_143	Positive	Positive	Positive	Positive	Positive
Kan_144	not-Kannada	Mixed feelings	not-Kannada	not-Kannada	not-Kannada
Kan_145	Positive	Positive	Positive	Positive	Positive
Kan_146	Positive	Positive	Positive	Positive	Positive
Kan_147	Positive	Positive	Positive	Positive	Positive
Kan_148	Positive	Positive	Positive	Positive	Positive
Kan_149	unknown state	Positive	Positive	Mixed feelings	Positive
Kan_150	Negative	Negative	Negative	Negative	Negative
Kan_151	Positive	Positive	Positive	Positive	Positive
Kan_152	Positive	Positive	Positive	Positive	Positive
Kan_153	Positive	Positive	Positive	Positive	Positive
Kan_154	Positive	Positive	Positive	Positive	Positive
Kan_155	Positive	Positive	Positive	Positive	Positive
Kan_156	Negative	Negative	Negative	Negative	Negative
Kan_157	Positive	Positive	Positive	Positive	Positive
Kan_158	Mixed feelings	unknown state	Mixed feelings	Mixed feelings	Mixed feelings
Kan_159	not-Kannada	not-Kannada	unknown state	Positive	not-Kannada
Kan_160	Positive	Positive	Positive	Positive	Positive
Kan_161	Positive	Positive	Positive	Positive	Positive
Kan_162	Positive	Positive	Positive	Positive	Positive
Kan_163	Negative	Positive	Negative	Negative	Negative
Kan_164	Positive	Positive	not-Kannada	not-Kannada	Positive
Kan_165	not-Kannada	Positive	unknown state	not-Kannada	not-Kannada
Kan_166	Negative	Positive	Positive	Negative	Negative
Kan_167	unknown state	Negative	unknown state	unknown state	unknown state
Kan_168	Positive	Positive	Positive	Positive	Positive
Kan_169	Positive	Positive	Positive	Positive	Positive
Kan_170	Negative	Negative	Negative	Positive	Negative
Kan_171	Positive	Negative	Positive	Positive	Positive
Kan_172	Negative	Negative	Negative	Negative	Negative
Kan_173	Positive	Positive	Negative	Positive	Positive
Kan_174	Positive	Positive	Positive	Positive	Positive
Kan_175	Positive	Positive	Positive	Positive	Positive
Kan_176	Positive	Positive	Positive	Positive	Positive
Kan_177	Positive	Positive	not-Kannada	not-Kannada	Positive
Kan_178	Negative	unknown state	Negative	Negative	Negative
Kan_179	unknown state	Positive	unknown state	not-Kannada	unknown state
Kan_180	Positive	Positive	Positive	Mixed feelings	Positive
Kan_181	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Kan_182	Positive	Positive	Positive	Positive	Positive
Kan_183	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_184	Mixed feelings	Negative	unknown state	unknown state	unknown state
Kan_185	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_186	Positive	Positive	Positive	Positive	Positive
Kan_187	Positive	Positive	Positive	Negative	Positive
Kan_188	Positive	Positive	Positive	Positive	Positive
Kan_189	Positive	Positive	Positive	Positive	Positive
Kan_190	Negative	Positive	Negative	Positive	Negative
Kan_191	Positive	Positive	Positive	Positive	Positive
Kan_192	Positive	Positive	Negative	Negative	Negative
Kan_193	Positive	Positive	Positive	Positive	Positive
Kan_194	not-Kannada	unknown state	Mixed feelings	Mixed feelings	Mixed feelings
Kan_195	unknown state	unknown state	Positive	unknown state	unknown state
Kan_196	Positive	Positive	Positive	Negative	Positive
Kan_197	Positive	Positive	Positive	Positive	Positive
Kan_198	Mixed feelings	Mixed feelings	Positive	Mixed feelings	Mixed feelings
Kan_199	Negative	Negative	Positive	Positive	Negative
Kan_200	Mixed feelings	Positive	Negative	Mixed feelings	Mixed feelings
Kan_201	Positive	Positive	Positive	not-Kannada	Positive
Kan_202	Positive	Positive	Positive	Negative	Positive
Kan_203	Positive	Positive	not-Kannada	Positive	Positive
Kan_204	not-Kannada	unknown state	not-Kannada	Positive	not-Kannada
Kan_205	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_206	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_207	Positive	Positive	not-Kannada	Positive	Positive
Kan_208	Mixed feelings	Positive	Positive	Positive	Positive
Kan_209	Positive	Negative	Positive	Positive	Positive
Kan_210	Positive	Positive	Positive	Positive	Positive
Kan_211	Positive	Positive	Positive	Positive	Positive
Kan_212	Negative	Negative	Negative	Negative	Negative
Kan_213	Positive	Positive	Positive	Positive	Positive
Kan_214	Positive	Negative	Positive	Negative	Negative
Kan_215	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_216	Positive	Positive	Positive	Positive	Positive
Kan_217	Positive	Negative	Negative	Negative	Negative
Kan_218	Positive	Positive	Positive	Positive	Positive
Kan_219	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Kan_220	unknown state	Positive	Positive	Positive	Positive
Kan_221	Positive	Positive	Positive	Positive	Positive
Kan_222	Positive	Negative	Positive	Positive	Positive
Kan_223	Positive	Positive	Positive	Positive	Positive
Kan_224	Positive	Positive	Positive	Positive	Positive
Kan_225	Positive	Positive	Positive	Positive	Positive
Kan_226	Negative	Negative	Negative	Negative	Negative
Kan_227	Negative	Negative	Negative	Negative	Negative
Kan_228	Negative	Negative	Negative	Negative	Negative
Kan_229	Positive	Positive	Positive	Positive	Positive
Kan_230	Positive	Negative	Negative	Negative	Negative
Kan_231	Positive	Positive	Positive	Positive	Positive
Kan_232	unknown state	Positive	Positive	Positive	Positive
Kan_233	Negative	Negative	Negative	Negative	Negative
Kan_234	Positive	Positive	Positive	Positive	Positive
Kan_235	Positive	Positive	Negative	Positive	Positive
Kan_236	Positive	Positive	Negative	Mixed feelings	Positive
Kan_237	unknown state	Positive	Negative	Negative	Negative
Kan_238	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_239	Positive	Positive	Positive	Negative	Positive
Kan_240	Positive	Positive	Positive	Positive	Positive
Kan_241	Positive	Negative	Positive	Positive	Positive
Kan_242	Positive	Positive	Positive	Positive	Positive
Kan_243	Negative	Positive	Negative	Positive	Negative
Kan_244	Positive	Positive	Positive	Positive	Positive
Kan_245	Positive	Positive	Positive	Positive	Positive
Kan_246	Positive	Positive	Positive	Positive	Positive
Kan_247	Positive	Positive	Positive	not-Kannada	Positive
Kan_248	Positive	Positive	Positive	Positive	Positive
Kan_249	Negative	Negative	Negative	Negative	Negative
Kan_250	Negative	Positive	Positive	Positive	Positive
Kan_251	Negative	Negative	Negative	Positive	Negative
Kan_252	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_253	Positive	Positive	Positive	Positive	Positive
Kan_254	Mixed feelings	Positive	Positive	Positive	Positive
Kan_255	Positive	Negative	Positive	Negative	Negative
Kan_256	Positive	Positive	Positive	Positive	Positive
Kan_257	Positive	Positive	Positive	Negative	Positive
Kan_258	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_259	Positive	Positive	Negative	Positive	Positive
Kan_260	Positive	Positive	Positive	Positive	Positive
Kan_261	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
Kan_262	Positive	Positive	Positive	not-Kannada	Positive
Kan_263	Mixed feelings	not-Kannada	Positive	unknown state	Positive
Kan_264	unknown state	unknown state	not-Kannada	unknown state	unknown state
Kan_265	Positive	Negative	Negative	Positive	Negative
Kan_266	Positive	Positive	Positive	Positive	Positive
Kan_267	Positive	Negative	Negative	Negative	Negative
Kan_268	Positive	Positive	Positive	Positive	Positive
Kan_269	unknown state	not-Kannada	unknown state	not-Kannada	not-Kannada
Kan_270	Positive	Negative	Negative	Negative	Negative
Kan_271	Positive	Negative	Positive	Positive	Positive
Kan_272	Negative	Positive	Positive	Positive	Positive
Kan_273	Positive	Positive	Positive	Positive	Positive
Kan_274	Positive	Positive	Positive	Positive	Positive
Kan_275	Positive	Positive	Positive	Positive	Positive
Kan_276	unknown state	Negative	Positive	Negative	Negative
Kan_277	Mixed feelings	Positive	Negative	Negative	Negative
Kan_278	Mixed feelings	Negative	Negative	Positive	Negative
Kan_279	Positive	Positive	Positive	Positive	Positive
Kan_280	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_281	Positive	not-Kannada	Positive	Positive	Positive
Kan_282	Positive	Positive	Positive	Positive	Positive
Kan_283	Positive	Positive	Positive	Positive	Positive
Kan_284	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_285	Positive	Positive	Positive	Positive	Positive
Kan_286	Negative	Positive	Negative	Positive	Negative
Kan_287	Negative	Negative	Negative	Positive	Negative
Kan_288	Positive	Positive	Positive	Positive	Positive
Kan_289	Positive	Positive	Positive	Positive	Positive
Kan_290	Positive	Positive	Positive	unknown state	Positive
Kan_291	not-Kannada	Positive	not-Kannada	Positive	Positive
Kan_292	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Kan_293	Negative	Negative	Negative	Negative	Negative
Kan_294	not-Kannada	Positive	Positive	not-Kannada	Positive
Kan_295	Negative	Positive	Negative	Negative	Negative
Kan_296	Positive	not-Kannada	Positive	not-Kannada	Positive
Kan_297	Positive	Positive	Positive	Positive	Positive
Kan_298	unknown state	Positive	Positive	Positive	Positive
Kan_299	Mixed feelings	Positive	Negative	Mixed feelings	Mixed feelings
Kan_300	Negative	Negative	Positive	Positive	Negative
Kan_301	Positive	Positive	Positive	Positive	Positive
Kan_302	Negative	Negative	Positive	Positive	Negative
Kan_303	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_304	Negative	Negative	Negative	Negative	Negative
Kan_305	Positive	Positive	unknown state	Positive	Positive
Kan_306	unknown state	Negative	unknown state	unknown state	unknown state
Kan_307	Positive	Positive	Positive	Positive	Positive
Kan_308	Negative	Negative	Negative	Negative	Negative
Kan_309	Negative	Negative	Negative	Negative	Negative
Kan_310	Positive	Negative	Negative	Positive	Negative
Kan_311	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_312	unknown state	Positive	Positive	not-Kannada	Positive
Kan_313	Positive	Positive	Positive	Positive	Positive
Kan_314	Positive	Positive	Positive	Positive	Positive
Kan_315	Positive	not-Kannada	Positive	Positive	Positive
Kan_316	Positive	Positive	Positive	Positive	Positive
Kan_317	Positive	Positive	Positive	Negative	Positive
Kan_318	Positive	Positive	Positive	Positive	Positive
Kan_319	unknown state	Positive	not-Kannada	Positive	Positive
Kan_320	Negative	Negative	Negative	Negative	Negative
Kan_321	Positive	Positive	Positive	Positive	Positive
Kan_322	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_323	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_324	Positive	Positive	Positive	Positive	Positive
Kan_325	Positive	Positive	Positive	Positive	Positive
Kan_326	Negative	Positive	Negative	Positive	Negative
Kan_327	Positive	Positive	Positive	Positive	Positive
Kan_328	Positive	Positive	Positive	Positive	Positive
Kan_329	unknown state	unknown state	not-Kannada	Positive	unknown state
Kan_330	Negative	Positive	Positive	Positive	Positive
Kan_331	Positive	not-Kannada	not-Kannada	Positive	Positive
Kan_332	Positive	Positive	Positive	Positive	Positive
Kan_333	Positive	Positive	Positive	Positive	Positive
Kan_334	not-Kannada	Positive	Positive	Positive	Positive
Kan_335	Negative	unknown state	Negative	Mixed feelings	Negative
Kan_336	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
Kan_337	Positive	Positive	Positive	Positive	Positive
Kan_338	Positive	Positive	Positive	Positive	Positive
Kan_339	Positive	Positive	Positive	Positive	Positive
Kan_340	Positive	Positive	Positive	Positive	Positive
Kan_341	Negative	Negative	Negative	Negative	Negative
Kan_342	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_343	not-Kannada	Positive	Positive	not-Kannada	Positive
Kan_344	unknown state	Positive	Positive	Positive	Positive
Kan_345	Negative	Negative	Negative	Negative	Negative
Kan_346	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_347	Positive	Positive	Positive	Positive	Positive
Kan_348	Positive	Positive	Positive	Negative	Positive
Kan_349	Negative	Positive	Negative	Positive	Negative
Kan_350	Positive	Negative	Positive	Positive	Positive
Kan_351	Positive	Mixed feelings	Positive	Positive	Positive
Kan_352	Negative	Mixed feelings	Negative	Positive	Negative
Kan_353	Positive	Positive	Positive	Positive	Positive
Kan_354	Positive	Positive	Positive	Mixed feelings	Positive
Kan_355	Positive	Positive	Positive	Positive	Positive
Kan_356	Positive	Positive	Negative	Positive	Positive
Kan_357	Negative	Negative	Negative	Positive	Negative
Kan_358	unknown state	Positive	Positive	Positive	Positive
Kan_359	Positive	Positive	Positive	Positive	Positive
Kan_360	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_361	Positive	Positive	Positive	not-Kannada	Positive
Kan_362	Positive	Positive	Negative	Positive	Positive
Kan_363	Positive	Positive	Positive	Positive	Positive
Kan_364	Negative	Negative	Negative	Negative	Negative
Kan_365	not-Kannada	Positive	Positive	Positive	Positive
Kan_366	Positive	Positive	Positive	Positive	Positive
Kan_367	Mixed feelings	Positive	Positive	Mixed feelings	Positive
Kan_368	Positive	Positive	unknown state	Mixed feelings	Positive
Kan_369	Positive	Positive	Positive	Positive	Positive
Kan_370	Negative	Negative	Negative	Negative	Negative
Kan_371	Positive	Positive	Positive	Positive	Positive
Kan_372	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_373	Positive	Positive	Negative	Positive	Positive
Kan_374	Negative	Negative	Negative	Negative	Negative
Kan_375	Positive	Positive	Positive	Positive	Positive
Kan_376	not-Kannada	Positive	Positive	Positive	Positive
Kan_377	Positive	Positive	Positive	Positive	Positive
Kan_378	Positive	Negative	Positive	Negative	Negative
Kan_379	Positive	unknown state	Negative	unknown state	unknown state
Kan_380	Positive	Positive	Positive	Positive	Positive
Kan_381	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_382	Positive	Negative	Positive	Mixed feelings	Positive
Kan_383	Negative	Positive	Negative	Positive	Negative
Kan_384	Negative	Negative	Negative	Negative	Negative
Kan_385	Positive	Positive	Positive	Negative	Positive
